79	GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0
80	GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
81	GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0
82	GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ–Sp8
83	GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0
84	GalNAcα1-3(Fucα1-2)Galβ–Sp8
85	GalNAcα1-3GalNAcβ–Sp8
86	GalNAcα1-3Galβ–Sp8
87	GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8
88	GalNAcβ1-3GalNAcα–Sp8
89	GalNAcβ1-3(Fucα1-2)Galβ-Sp8
90	GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0
91	GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0
92	GalNAcβ1-4GlcNAcβ–Sp0
93	GalNAcβ1-4GlcNAcβ–Sp8
94	Galα1-2Galβ–Sp8
95	Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0
96	Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
97	Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0
98	Galα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0
99	Galα1-3(Fucα1-2)Galβ–Sp8
100	Galα1-3(Galα1-4)Galβ1-4GlcNAcβ-Sp8
101	Galα1-3GalNAcα-Sp8
102	Galα1-3GalNAcβ–Sp8
103	Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8
104	Galα1-3Galβ1-3GlcNAcβ-Sp0
105	Galα1-3Galβ1-4GlcNAcβ–Sp8
106	Galα1-3Galβ1-4Glcβ–Sp0
107	Galα1-3Galβ–Sp8
108	Galα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8
109	Galα1-4Galβ1-4GlcNAcβ–Sp0
110	Galα1-4Galβ1-4GlcNAcβ–Sp8
111	Galα1-4Galβ1-4Glcβ–Sp0
112	Galα1-4GlcNAcβ–Sp8
113	Galα1-6Glcβ-Sp8
114	Galβ1-2Galβ–Sp8
115	Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
116	Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0
117	Galβ1-3(Fucα1-4)GlcNAc–Sp0
118	Galβ1-3(Fucα1-4)GlcNAc–Sp8
119	Galβ1-3(Fucα1-4)GlcNAcβ–Sp8
120	Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8
121	Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8
122	Galβ1-3(Neu5Acα2-6)GalNAcα-Sp8
123	Galβ1-3(Neu5Acβ2-6)GalNAcα-Sp8
124	Galβ1-3(Neu5Acα2-6)GlcNAcβ1-4Galβ1-4Glcβ-Sp10
125	Galβ1-3GalNAcα-Sp8
126	Galβ1-3GalNAcβ–Sp8
127	Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp0
128	Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0
129	Galβ1-3GalNAcβ1-4Galβ1-4Glcβ–Sp8
130	Galβ1-3Galβ–Sp8
131	Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0
132	Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ–Sp10
133	Galβ1-3GlcNAcβ–Sp0
