R1,R2,R3,R4,#atoms,Score1,Score2,Score3,Score4,EXX,EXX-C,EXX-LJ,Eintra,Eintra-C,Eintra-L,N12HB,DELHB,HBDnLig,HBAcLig,NNEB1,NNEB2,NGOOD,NBAD,NN2TOT,DSH-Total,DSH-FOSA,DSH-FISA,DSH-PISA,DSH-WPSA,DSL-Total,DSL-FOSA,DSL-FISA,DSL-PISA,DSL-WPSA,#stars,#amine,#nitro,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,BIPCaco,AffyPCaco,QPlogBB,AffyPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,QPlogHERG,RuleOf5,QP%HumanAbs
 151, 209,   1,   1,  85,      2.0984,     -3.1478,     -2.2029,      0.0000,        0.00,        0.00,        0.00,      199.95,      -26.99,      226.94,        0.00,        0.00,        3.00,        5.00,    0,    0,    0,    0,     0.000,  -292.926,   -79.699,  -205.740,    -7.487,     0.000,  -377.146,  -265.407,   -33.493,   -60.031,   -18.215, 4, 0, 0, 0, 1,16, 2,-2,   777.770,     9.837,   953.400,   521.623,    89.867,   268.749,    73.161,  1936.224,     3.800,    20.200, 0.0499766, 0.0413017, 0.7880017,    63.627,    19.766,    38.533,    26.411,     2.128,    -4.024,    -6.039,   171.230,  1392.174,    -1.186,  1780.079,    -0.693,     5.475,     3.756,11,    -1.076,    -4.870,1, 83
 152, 209,   1,   1,  88,      2.1451,     -3.1953,     -2.2701,      0.0000,        0.00,        0.00,        0.00,      200.12,      -26.74,      226.86,        0.00,        0.00,        3.00,        5.00,    0,    0,    0,    0,     0.000,  -304.126,   -83.737,  -212.903,    -7.487,     0.000,  -383.988,  -273.502,   -33.493,   -62.136,   -14.857, 4, 0, 0, 0, 1,17, 2,-2,   791.797,     5.414,   966.825,   560.208,    89.867,   261.207,    55.543,  1980.796,     3.800,    20.700, 0.0148005, 0.0417363, 0.7889394,    64.696,    19.946,    38.592,    26.658,     2.119,    -3.820,    -6.114,   233.269,  1392.174,    -1.287,  1425.379,    -0.623,     5.272,     3.340,12,    -1.104,    -4.818,1, 83
 153, 209,   1,   1,  88,      2.3166,     -2.9658,     -2.2663,      0.0000,        0.00,        0.00,        0.00,      199.37,      -27.42,      226.79,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -298.493,   -79.699,  -211.307,    -7.487,     0.000,  -378.672,  -273.049,   -33.493,   -59.749,   -12.381, 6, 0, 0, 0, 1,16, 1,-2,   791.797,    13.246,   993.961,   612.414,    89.867,   256.038,    35.643,  2011.641,     3.000,    20.200, 0.0872267, 0.0352000, 0.7753468,    66.523,    20.017,    38.650,    25.238,     2.432,    -4.340,    -6.344,   115.588,  1392.174,    -1.310,  1108.961,    -0.738,     5.021,     3.131,10,    -0.974,    -5.014,1, 84
 124, 209,   1,   1,  87,      2.3267,     -2.4734,     -2.2490,      0.0000,        0.00,        0.00,        0.00,      200.66,      -26.67,      227.33,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -284.728,   -79.699,  -197.543,    -7.487,     0.000,  -366.662,  -270.966,   -31.136,   -64.560,     0.000, 3, 0, 0, 0, 1,15, 1,-2,   759.737,    10.702,   963.715,   614.736,    89.867,   259.112,     0.000,  1944.964,     3.000,    20.200, 0.0588887, 0.0363047, 0.7819112,    64.526,    19.156,    37.430,    25.394,     1.913,    -3.885,    -5.709,   153.276,  1392.174,    -1.320,   707.401,    -0.823,     4.772,     3.536,11,    -1.077,    -4.922,1, 81
 125, 209,   1,   1,  87,      2.2944,     -3.0956,     -2.1764,      0.0000,        0.00,        0.00,        0.00,      201.48,      -26.04,      227.52,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -287.941,   -79.699,  -200.756,    -7.487,     0.000,  -369.596,  -262.212,   -31.136,   -63.852,   -12.396, 3, 0, 0, 0, 1,15, 1,-2,   813.709,     6.054,   984.121,   527.383,    89.867,   249.211,   117.659,  1983.447,     3.000,    20.200, 0.0184795, 0.0355520, 0.7757655,    65.972,    18.635,    37.932,    25.417,     2.568,    -4.709,    -6.780,   209.911,  1392.174,    -1.047,  3120.345,    -0.858,     5.209,     3.492,11,    -0.998,    -4.974,1, 85
 126, 209,   1,   1,  90,      2.2609,     -2.7929,     -2.3966,      0.0000,        0.00,        0.00,        0.00,      199.77,      -27.10,      226.87,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -304.865,   -83.985,  -213.393,    -7.487,     0.000,  -383.736,  -288.751,   -33.485,   -61.500,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   773.764,    11.324,   968.497,   619.169,    89.867,   259.462,     0.000,  1987.989,     3.000,    20.200, 0.0645005, 0.0361255, 0.7894826,    65.610,    19.429,    37.922,    25.187,     2.186,    -3.795,    -5.986,   152.254,  1392.174,    -1.362,   707.401,    -0.726,     5.356,     3.768,11,    -1.003,    -4.801,1, 83
 127, 209,   1,   1,  93,      2.2871,     -3.0557,     -2.4073,      0.0000,        0.00,        0.00,        0.00,      199.13,      -27.87,      226.99,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -301.068,   -82.402,  -211.180,    -7.487,     0.000,  -381.359,  -290.037,   -33.493,   -57.829,     0.000, 5, 0, 0, 0, 1,16, 1,-2,   787.791,     7.158,   998.935,   663.534,    89.867,   245.534,     0.000,  2043.952,     3.000,    20.200, 0.0250681, 0.0350247, 0.7797250,    67.716,    19.905,    38.066,    25.166,     2.486,    -4.262,    -6.265,   202.812,  1392.174,    -1.386,   707.401,    -0.775,     5.281,     3.542,12,    -0.888,    -4.893,1, 85
 128, 209,   1,   1,  88,      2.3132,     -2.7157,     -2.3721,      0.0000,        0.00,        0.00,        0.00,      201.07,      -26.99,      228.05,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -293.902,   -79.699,  -206.717,    -7.487,     0.000,  -378.980,  -285.790,   -33.493,   -59.697,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   771.748,    11.529,   975.956,   585.434,    89.867,   300.656,     0.000,  1979.697,     3.000,    20.200, 0.0671393, 0.0358494, 0.7812688,    65.671,    19.743,    37.992,    25.485,     2.168,    -3.909,    -5.946,   142.212,  1392.174,    -1.382,   707.401,    -0.580,     5.727,     3.922,10,    -1.039,    -5.131,1, 83
R1,R2,R3,R4,#atoms,Score1,Score2,Score3,Score4,EXX,EXX-C,EXX-LJ,Eintra,Eintra-C,Eintra-L,N12HB,DELHB,HBDnLig,HBAcLig,NNEB1,NNEB2,NGOOD,NBAD,NN2TOT,DSH-Total,DSH-FOSA,DSH-FISA,DSH-PISA,DSH-WPSA,DSL-Total,DSL-FOSA,DSL-FISA,DSL-PISA,DSL-WPSA,#stars,#amine,#nitro,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,BIPCaco,AffyPCaco,QPlogBB,AffyPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,QPlogHERG,RuleOf5,QP%HumanAbs
 115, 209,   1,   1,  84,      2.4116,     -2.4188,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.03,      -27.47,      227.50,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 3, 0, 0, 0, 1,15, 1,-2,   763.701,    10.470,   939.866,   527.249,    89.867,   275.711,    47.039,  1899.409,     3.000,    20.200, 0.0577099, 0.0372260, 0.7891835,    62.862,    18.589,    37.111,    25.466,     1.856,    -3.730,    -5.787,   161.196,  1392.174,    -1.187,  1280.402,    -0.764,     5.332,     3.453,10,    -1.170,    -4.884,1, 81
 116, 209,   1,   1,  84,      2.4186,     -2.6474,     -2.1699,      0.0000,        0.00,        0.00,        0.00,      200.21,      -27.31,      227.52,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -275.235,   -79.699,  -188.049,    -7.487,     0.000,  -358.306,  -261.432,   -30.336,   -66.538,     0.000, 3, 0, 0, 0, 1,15, 1,-2,   780.155,     6.726,   956.673,   527.359,    89.867,   267.796,    71.652,  1927.770,     3.000,    20.200, 0.0234662, 0.0365720, 0.7830177,    63.921,    19.565,    37.100,    25.461,     2.096,    -4.091,    -6.113,   209.477,  1392.174,    -1.142,  1746.529,    -0.792,     5.239,     3.552,10,    -1.116,    -4.946,1, 83
 117, 209,   1,   1,  84,      2.4116,     -2.7055,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.07,      -27.34,      227.41,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 3, 0, 0, 0, 1,15, 1,-2,   824.606,     7.607,   959.246,   527.249,    89.867,   265.294,    76.836,  1935.224,     3.000,    20.200, 0.0298984, 0.0364739, 0.7829294,    64.196,    19.646,    37.309,    25.452,     2.158,    -4.152,    -6.998,   198.051,  1392.174,    -1.129,  1864.549,    -0.801,     5.458,     3.752,10,    -1.098,    -4.935,1, 83
 118, 209,   1,   1,  84,      2.4116,     -2.8325,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.34,      -27.06,      227.39,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 3, 0, 0, 0, 1,15, 1,-2,   871.607,    10.698,   968.064,   527.249,    89.867,   262.855,    88.093,  1951.823,     3.000,    20.200, 0.0586413, 0.0361416, 0.7802275,    64.837,    19.877,    37.972,    25.461,     2.291,    -4.335,    -7.940,   152.157,  1392.174,    -1.108,  2149.016,    -0.810,     5.413,     3.803,10,    -1.064,    -4.967,1, 84
 184, 209,   1,   1,  87,      4.2982,     -2.0393,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      196.93,      -30.82,      227.76,        0.00,        0.00,        3.00,        7.00,    0,    0,    0,    0,     0.000,  -276.280,   -79.699,  -189.095,    -7.487,     0.000,  -358.985,  -261.611,   -30.700,   -66.674,     0.000, 5, 0, 0, 1, 1,16, 1,-2,   789.720,     9.170,   974.298,   527.249,   196.203,   250.846,     0.000,  1966.587,     4.000,    22.200, 0.0427562, 0.0455713, 0.7791395,    64.671,    20.266,    40.268,    29.300,     0.962,    -3.400,    -5.462,    12.747,    34.587,    -2.556,    16.578,    -2.716,     5.570,     3.723,10,    -1.536,    -3.120,1, 47
 185, 209,   1,   1,  86,      6.5330,     -1.5078,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      202.60,      -25.34,      227.94,        0.00,        0.00,        2.00,        9.00,    0,    0,    0,    0,     0.000,  -276.372,   -79.699,  -189.187,    -7.487,     0.000,  -358.999,  -261.611,   -30.814,   -66.573,     0.000, 5, 0, 1, 0, 1,16, 1,-2,   790.708,    13.602,   970.650,   527.249,   187.043,   256.357,     0.000,  1957.033,     3.000,    21.200, 0.0945330, 0.0378298, 0.7795330,    64.341,    19.947,    38.829,    26.817,     0.897,    -3.483,    -5.912,    10.250,   166.789,    -2.453,    71.385,    -2.527,     5.045,     4.288,11,    -1.286,    -4.948,1, 59
 186, 209,   1,   1,  85,      3.5336,     -1.4424,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      201.72,      -25.75,      227.47,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   770.720,     7.764,   968.788,   539.494,   161.848,   267.447,     0.000,  1948.510,     3.000,    21.700, 0.0309364, 0.0387964, 0.7787616,    64.106,    19.785,    38.029,    27.209,     0.828,    -4.282,    -6.313,    32.690,   289.131,    -2.180,   129.377,    -2.024,     6.059,     4.179,10,    -1.403,    -5.013,1, 63
 187, 209,   1,   1,  86,      3.5332,     -1.2268,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      202.20,      -25.45,      227.65,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -276.263,   -79.699,  -189.077,    -7.487,     0.000,  -358.982,  -261.611,   -30.679,   -66.692,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   773.721,     9.640,   966.525,   545.558,   166.905,   254.062,     0.000,  1952.108,     3.000,    22.200, 0.0476061, 0.0397833, 0.7815461,    64.122,    19.725,    38.555,    27.640,     0.601,    -3.076,    -5.168,    25.736,   258.904,    -2.222,   114.821,    -2.164,     5.179,     3.502,10,    -1.483,    -4.904,1, 61
 188, 209,   1,   1,  89,      3.5332,     -1.6557,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.53,      -27.38,      227.91,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -276.281,   -79.699,  -189.096,    -7.487,     0.000,  -358.986,  -261.611,   -30.701,   -66.674,     0.000, 5, 0, 0, 0, 1,16, 1,-2,   787.747,     8.563,   993.982,   609.378,   142.049,   242.555,     0.000,  2004.471,     3.000,    22.200, 0.0365786, 0.0386843, 0.7734874,    66.108,    20.002,    38.934,    27.458,     1.053,    -3.487,    -5.444,    48.285,   445.500,    -1.984,   206.441,    -1.747,     5.593,     3.966,10,    -1.379,    -4.980,1, 68
 189, 209,   1,   1,  90,      4.5306,     -0.9226,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      199.63,      -27.66,      227.30,        0.00,        0.00,        2.00,        7.00,    0,    0,    0,    0,     0.000,  -277.181,   -79.699,  -189.995,    -7.487,     0.000,  -359.216,  -261.611,   -31.712,   -65.893,     0.000, 7, 0, 0, 0, 1,16, 1,-2,   823.796,    11.289,  1013.144,   607.612,   167.774,   237.698,     0.060,  2045.332,     3.000,    24.200, 0.0623036, 0.0413718, 0.7691360,    67.697,    20.545,    41.036,    29.616,     0.281,    -3.071,    -5.333,    19.423,   254.037,    -2.291,   112.575,    -2.238,     5.248,     3.622,10,    -1.679,    -5.027,1, 59
 190, 209,   1,   1,  89,      4.1827,     -1.0848,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      183.59,      -43.78,      227.37,        0.00,        0.00,        4.00,        7.00,    0,    0,    0,    0,     0.000,  -277.159,   -79.699,  -189.973,    -7.487,     0.000,  -359.210,  -261.611,   -31.685,   -65.914,     0.000, 8, 0, 0, 0, 1,17, 1,-2,   824.784,    12.427,  1000.449,   527.249,   226.998,   244.231,     1.972,  2015.578,     5.000,    24.700, 0.0766226, 0.0552061, 0.7713231,    65.926,    21.163,    44.070,    33.235,    -0.538,    -2.994,    -5.104,     3.987,    69.708,    -3.000,    28.502,    -3.211,     4.398,     2.437,10,    -1.711,    -5.023,1, 44
 191, 209,   1,   1,  90,      3.5332,     -1.8467,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.56,      -27.64,      228.21,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -276.279,   -79.699,  -189.094,    -7.487,     0.000,  -358.986,  -261.611,   -30.698,   -66.676,     0.000, 6, 0, 0, 0, 1,16, 2,-2,   803.747,     4.626,  1022.058,   625.077,   146.874,   250.108,     0.000,  2046.281,     3.000,    22.200, 0.0104596, 0.0376217, 0.7626635,    67.853,    20.582,    39.174,    27.610,     1.254,    -3.912,    -5.760,    48.333,   400.957,    -2.084,   184.224,    -1.809,     5.664,     3.810,10,    -1.304,    -5.191,1, 68
 192, 209,   1,   1,  90,      3.5336,     -1.8220,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      205.06,      -28.82,      233.88,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 6, 0, 0, 0, 1,16, 2,-2,   803.747,    12.473,  1006.232,   624.273,   135.784,   246.175,     0.000,  2027.215,     3.000,    22.200, 0.0767374, 0.0382134, 0.7698392,    67.053,    20.220,    39.778,    27.470,     1.228,    -3.672,    -5.760,    38.626,   510.806,    -1.928,   239.337,    -1.619,     6.031,     4.089,10,    -1.333,    -5.056,1, 70
 193, 209,   1,   1,  88,      3.0632,     -1.7780,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      193.81,      -34.21,      228.02,        0.00,        0.00,        4.00,        6.00,    0,    0,    0,    0,     0.000,  -276.268,   -79.699,  -189.082,    -7.487,     0.000,  -358.983,  -261.611,   -30.685,   -66.687,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   788.735,     6.018,   976.885,   527.249,   200.300,   249.336,     0.000,  1972.113,     5.000,    22.700, 0.0183665, 0.0519598, 0.7785314,    64.878,    20.547,    41.747,    31.281,     0.192,    -3.425,    -5.202,    14.123,   124.870,    -2.604,    52.207,    -2.797,     5.168,     3.444,11,    -1.400,    -4.930,1, 53
 154, 209,   1,   1,  86,      2.0636,     -2.3648,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      198.36,      -29.16,      227.52,        0.00,        0.00,        4.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   760.725,     8.889,   945.569,   527.249,   150.444,   267.876,     0.000,  1911.028,     5.000,    21.200, 0.0413456, 0.0501335, 0.7876196,    62.610,    19.718,    40.264,    29.515,     0.810,    -3.434,    -5.253,    42.952,   370.887,    -2.018,   169.337,    -1.812,     5.628,     3.983,11,    -1.256,    -4.872,1, 65
 155, 209,   1,   1,  89,      2.2896,     -2.5065,     -2.2066,      0.0000,        0.00,        0.00,        0.00,      200.47,      -27.71,      228.18,        0.00,        0.00,        3.00,        5.00,    0,    0,    0,    0,     0.000,  -279.192,   -79.699,  -192.007,    -7.487,     0.000,  -359.763,  -265.851,   -30.472,   -63.440,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   774.752,    12.479,   979.960,   615.464,   113.778,   250.718,     0.000,  1974.626,     4.000,    21.200, 0.0788675, 0.0432671, 0.7767474,    64.991,    19.782,    39.915,    27.767,     1.453,    -3.801,    -5.571,    69.382,   825.937,    -1.658,   402.327,    -1.197,     5.472,     3.603,12,    -1.184,    -4.966,1, 75
 156, 209,   1,   1,  92,      2.5214,     -2.4705,     -2.2113,      0.0000,        0.00,        0.00,        0.00,      201.93,      -27.29,      229.22,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -281.804,   -79.699,  -194.618,    -7.487,     0.000,  -360.052,  -266.425,   -30.472,   -63.155,     0.000, 5, 0, 0, 0, 1,16, 1,-2,   788.778,     5.676,   999.398,   667.870,    96.031,   235.497,     0.000,  2026.951,     3.000,    21.200, 0.0158929, 0.0367416, 0.7750365,    66.940,    19.796,    38.184,    26.125,     1.910,    -3.919,    -5.874,   183.442,  1216.850,    -1.467,   611.619,    -0.924,     5.089,     3.259,11,    -1.130,    -4.921,1, 80
 157, 209,   1,   1,  89,      3.0451,     -2.1762,     -2.2167,      0.0000,        0.00,        0.00,        0.00,      199.25,      -27.76,      227.01,        0.00,        0.00,        4.00,        6.00,    0,    0,    0,    0,     0.000,  -285.295,   -79.699,  -198.110,    -7.487,     0.000,  -371.717,  -267.067,   -33.493,   -71.157,     0.000, 5, 1, 0, 0, 1,17, 1,-2,   774.752,    12.897,   979.694,   573.744,   151.051,   254.899,     0.000,  1976.223,     5.000,    21.200, 0.0841674, 0.0483872, 0.7773774,    64.453,    20.288,    41.416,    29.293,     0.611,    -2.524,    -4.475,     5.037,    91.281,    -1.729,    41.165,    -3.836,     6.048,     4.356,13,    -1.185,    -5.702,1, 53
 158, 209,   1,   1,  85,      3.2986,     -1.9730,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      199.11,      -28.37,      227.48,        0.00,        0.00,        3.00,        6.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   761.710,     7.772,   943.171,   527.249,   144.512,   271.410,     0.000,  1905.961,     4.000,    21.200, 0.0316938, 0.0449547, 0.7882254,    62.441,    19.443,    38.596,    28.029,     0.892,    -3.272,    -5.317,    54.128,   422.173,    -1.951,   194.782,    -1.691,     5.203,     3.694,11,    -1.310,    -4.879,1, 66
 159, 209,   1,   1,  88,      3.2543,     -2.0428,     -2.2039,      0.0000,        0.00,        0.00,        0.00,      200.23,      -26.77,      227.00,        0.00,        0.00,        3.00,        6.00,    0,    0,    0,    0,     0.000,  -288.383,   -79.699,  -201.197,    -7.487,     0.000,  -374.067,  -265.535,   -39.261,   -69.271,     0.000, 4, 0, 0, 0, 1,17, 1,-2,   775.736,     6.773,   972.249,   574.425,   141.262,   256.562,     0.000,  1968.043,     4.000,    21.900, 0.0233063, 0.0450502, 0.7811673,    64.142,    19.909,    39.370,    28.444,     0.965,    -3.304,    -5.310,    59.164,   453.223,    -2.004,   210.312,    -1.587,     5.247,     3.502,11,    -1.355,    -4.922,1, 67
 160, 209,   1,   1,  88,      2.5336,     -2.1492,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.80,      -27.68,      228.48,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.079,   -79.699,  -188.894,    -7.487,     0.000,  -358.946,  -261.611,   -30.472,   -66.863,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   775.736,     4.327,   965.560,   619.192,    89.867,   256.501,     0.000,  1956.045,     3.000,    21.200, 0.0095726, 0.0380292, 0.7833784,    64.303,    19.213,    37.192,    26.145,     1.572,    -3.406,    -5.616,   236.683,  1392.174,    -1.377,   707.401,    -0.736,     5.308,     3.404,11,    -1.280,    -4.886,1, 79
 274, 209,   1,   1,  91,      2.6557,     -2.5274,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.42,      -28.05,      228.47,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.074,   -79.699,  -188.888,    -7.487,     0.000,  -358.939,  -261.611,   -30.472,   -66.856,     0.000, 6, 0, 0, 0, 1,17, 1,-2,   789.763,    10.540,  1012.709,   666.693,    89.867,   256.149,     0.000,  2029.173,     3.000,    21.200, 0.0547522, 0.0362587, 0.7654081,    66.584,    20.043,    38.500,    26.035,     1.970,    -3.960,    -5.894,   144.388,  1392.174,    -1.484,   707.401,    -0.641,     5.538,     3.885,11,    -1.187,    -5.175,1, 82
 161, 209,   1,   1,  85,      2.2986,     -3.1370,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.16,      -27.30,      227.46,        0.00,        0.00,        3.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 4, 0, 0, 0, 1,16, 2,-2,   777.770,     3.759,   958.162,   527.249,    89.867,   263.453,    77.593,  1934.239,     3.800,    20.200, 0.0073047, 0.0410964, 0.7835488,    63.497,    19.791,    37.888,    26.388,     2.117,    -4.113,    -6.039,   241.598,  1392.174,    -1.186,  1882.443,    -0.712,     5.471,     3.946,11,    -1.091,    -4.916,1, 83
 162, 209,   1,   1,  88,      2.4224,     -3.2305,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.86,      -26.58,      227.44,        0.00,        0.00,        3.00,        5.00,    0,    0,    0,    0,     0.000,  -275.955,   -79.699,  -188.769,    -7.487,     0.000,  -358.785,  -261.610,   -30.472,   -66.703,     0.000, 4, 0, 0, 0, 1,17, 2,-2,   791.797,    10.635,   984.222,   572.658,    89.867,   249.547,    72.149,  1993.004,     3.800,    20.700, 0.0567536, 0.0409986, 0.7781757,    65.074,    20.206,    39.303,    26.626,     2.216,    -4.149,    -6.114,   152.873,  1392.174,    -1.273,  1757.521,    -0.664,     6.323,     4.685,12,    -1.101,    -4.937,1, 83
 163, 209,   1,   1,  88,      2.5336,     -2.9559,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      199.44,      -27.88,      227.32,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 5, 0, 0, 0, 1,16, 1,-2,   791.797,    11.095,   998.670,   618.085,    89.867,   250.713,    40.005,  2009.573,     3.000,    20.200, 0.0612588, 0.0350340, 0.7711621,    66.390,    20.046,    38.232,    25.214,     2.421,    -4.432,    -6.344,   141.210,  1392.174,    -1.310,  1171.691,    -0.756,     5.607,     3.712,10,    -0.987,    -5.056,1, 84
 129, 209,   1,   1,  87,      2.4116,     -2.4617,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      200.60,      -26.91,      227.51,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 3, 0, 0, 0, 1,15, 1,-2,   759.737,     9.351,   962.922,   615.396,    89.867,   257.659,     0.000,  1943.142,     3.000,    20.200, 0.0450045, 0.0363346, 0.7820665,    64.440,    19.129,    37.207,    25.382,     1.901,    -3.873,    -5.709,   172.971,  1392.174,    -1.320,   707.401,    -0.828,     5.819,     4.153,11,    -1.081,    -4.913,1, 81
 130, 209,   1,   1,  87,      2.4116,     -3.0836,     -2.1714,      0.0000,        0.00,        0.00,        0.00,      201.94,      -25.76,      227.69,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -276.081,   -79.699,  -188.896,    -7.487,     0.000,  -358.949,  -261.611,   -30.472,   -66.866,     0.000, 4, 0, 0, 0, 1,15, 1,-2,   813.709,    12.978,   982.506,   527.425,    89.867,   248.063,   117.151,  1981.625,     3.000,    20.200, 0.0849895, 0.0356104, 0.7765647,    65.888,    18.598,    38.814,    25.405,     2.556,    -4.682,    -6.780,   118.671,  1392.174,    -1.046,  3100.406,    -0.862,     5.307,     3.640,10,    -1.001,    -4.956,1, 85
 131, 209,   1,   1,  90,      2.5101,     -2.7342,     -2.1761,      0.0000,        0.00,        0.00,        0.00,      200.86,      -27.19,      228.05,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -278.898,   -79.699,  -191.712,    -7.487,     0.000,  -361.082,  -262.183,   -31.136,   -67.762,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   773.764,     8.273,   989.327,   655.779,    89.867,   243.682,     0.000,  1996.203,     3.000,    20.200, 0.0342893, 0.0353649, 0.7749877,    65.788,    19.556,    37.459,    25.130,     2.188,    -4.114,    -5.986,   182.282,  1392.174,    -1.398,   707.401,    -0.781,     5.118,     3.628,11,    -1.012,    -4.961,1, 83
