60	LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-OH
61	LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-OH
62	LFucpa1-2DGalpb1-3DGlcpNAcb1-OH
63	LFucpa1-2DGalpb1-3DGlcpNAcb1-OH
64	LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
65	LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
66	LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
67	LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
69	LFucpa1-2DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
70	LFucpa1-2DGalpb1-4DGlcpNAcb1-OH
71	LFucpa1-2DGalpb1-4DGlcpNAcb1-OH
72	LFucpa1-2DGalpb1-4DGlcpb1-OH
73	LFucpa1-2DGalpb1-OH
74	LFucpa1-3DGlcpNAcb1-OH
75	LFucpa1-4DGlcpNAcb1-OH
76	LFucpb1-3DGlcpNAcb1-OH
77	DGalpNAca1-3[LFucpa1-2]DGalpb1-3DGlcpNAcb1-OH
78	DGalpNAca1-3[LFucpa1-2]DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
79	DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-OH
80	DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-OH
81	DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpb1-OH
82	DGalpNAca1-3[LFucpa1-2]DGalpb1-OH
83	DGalpNAca1-3DGalpNAcb1-OH
84	DGalpNAca1-3DGalpb1-OH
85	DGalpNAca1-4[LFucpa1-2]DGalpb1-4DGlcpNAcb1-OH
87	DGalpNAcb1-3[LFucpa1-2]DGalpb1-OH
88	DGalpNAcb1-3DGalpa1-4DGalpb1-4DGlcpNAcb1-OH
89	DGalpNAcb1-4[LFucpa1-3]DGlcpNAcb1-OH
90	DGalpNAcb1-4DGlcpNAcb1-OH
91	DGalpNAcb1-4DGlcpNAcb1-OH
92	DGalpa1-2DGalpb1-OH
93	DGalpa1-3[LFucpa1-2]DGalpb1-3DGlcpNAcb1-OH
94	DGalpa1-3[LFucpa1-2]DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
96	DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpb1-OH
97	DGalpa1-3[LFucpa1-2]DGalpb1-OH
98	DGalpa1-3[DGalpa1-4]DGalpb1-4DGlcpNAcb1-OH
100	DGalpa1-3DGalpNAcb1-OH
101	DGalpa1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
102	DGalpa1-3DGalpb1-3DGlcpNAcb1-OH
103	DGalpa1-3DGalpb1-4DGlcpNAcb1-OH
104	DGalpa1-3DGalpb1-4DGlcpb1-OH
105	DGalpa1-3DGalpb1-OH
106	DGalpa1-4[LFucpa1-2]DGalpb1-4DGlcpNAcb1-OH
107	DGalpa1-4DGalpb1-4DGlcpNAcb1-OH
108	DGalpa1-4DGalpb1-4DGlcpNAcb1-OH
109	DGalpa1-4DGalpb1-4DGlcpb1-OH
110	DGalpa1-4DGlcpNAcb1-OH
111	DGalpa1-6DGlcpb1-OH
112	DGalpb1-2DGalpb1-OH
113	DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
114	DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
117	DGalpb1-3[LFucpa1-4]DGlcpNAcb1-OH
122	DGalpb1-3[DNeup5Aca2-6]DGlcpNAcb1-4DGalpb1-4DGlcpb1-OH
124	DGalpb1-3DGalpNAcb1-OH
125	DGalpb1-3DGalpNAcb1-3DGalpa1-4DGalpb1-4DGlcpb1-OH
126	DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-3]DGalpb1-4DGlcpb1-OH
127	DGalpb1-3DGalpNAcb1-4DGalpb1-4DGlcpb1-OH
128	DGalpb1-3DGalpb1-OH
129	DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
130	DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-OH
131	DGalpb1-3DGlcpNAcb1-OH
132	DGalpb1-3DGlcpNAcb1-OH
133	DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
134	DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
135	DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
136	DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
137	DGalpb1-4DGlcp[6S]b1-OH
138	DGalpb1-4DGlcp[6S]b1-OH
139	DGalpb1-4DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-OH
140	DGalpb1-4DGalpNAcb1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-OH
141	DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
143	DGalpb1-4DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
144	DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
145	DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
146	DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-OH
147	DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-OH
150	DGalpb1-4DGlcpNAcb1-OH
151	DGalpb1-4DGlcpNAcb1-OH
152	DGalpb1-4DGlcpb1-OH
153	DGalpb1-4DGlcpb1-OH
154	DGlcpNAca1-3DGalpb1-4DGlcpNAcb1-OH
155	DGlcpNAca1-6DGalpb1-4DGlcpNAcb1-OH
158	DGlcpNAcb1-3[DGlcpNAcb1-6]DGalpb1-4DGlcpNAcb1-OH
160	DGlcpNAcb1-3DGalpb1-OH
162	DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
163	DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
164	DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
165	DGlcpNAcb1-3DGalpb1-4DGlcpb1-OH
168	DGlcpNAcb1-4DGalpb1-4DGlcpNAcb1-OH
171	DGlcpNAcb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
174	DGlcpNAcb1-6DGalpb1-4DGlcpNAcb1-OH
175	DGlcpa1-4DGlcpb1-OH
177	DGlcpa1-6DGlcpa1-6DGlcpb1-OH
178	DGlcpb1-4DGlcpb1-OH
179	DGlcpb1-6DGlcpb1-OH
182	DGlcpAb1-OH
183	DGlcpAb1-3DGalpb1-OH
184	DGlcpAb1-6DGalpb1-OH
190	DManpa1-6[DManpa1-2DManpa1-3]DManpa1-6[DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
191	DManpa1-2DManpa1-6[DManpa1-3]DManpa1-6[DManpa1-2DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
192	DManpa1-2DManpa1-2DManpa1-3[DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
195	DManpa1-6[DManpa1-3]DManpa1-6[DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
196	DManpa1-6[DManpa1-3]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
197	DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
198	DManpb1-4DGlcpNAcb1-OH
199	LFucpa1-3[DGalpb1-4]DGlcpNAcb1-2DManpa1-3[LFucpa1-3[DGalpb1-4]DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-OH
201	DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-OH
202	DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-OH
203	DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-3DGalpb1-4DGlcpb1-OH
204	DNeup5Aca2-8DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-OH
206	DNeup5Aca2-3DGalp[6S]b1-4[LFucpa1-3]DGlcpNAcb1-OH
207	DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpNAcb1-OH
208	DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpNAcb1-OH
209	DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-OH
210	DNeup5Aca2-3[DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4]DGalpb1-4DGlcpb1-OH
213	DNeup5Aca2-3DGalpNAcb1-4DGlcpNAcb1-OH
215	DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-OH
216	DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
217	DNeup5Aca2-3DGalpb1-3[DNeup5Aca2-3DGalpb1-4]DGlcpNAcb1-OH
220	DNeup5Aca2-3DGalpb1-OH
221	DNeup5Aca2-3DGalpb1-3DGalpNAcb1-3DGalpa1-4DGalpb1-4DGlcpb1-OH
222	DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-OH
223	DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-OH
224	DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-OH
225	DNeup5Aca2-3DGalpb1-4DGlcpNAc[6S]b1-OH
226	DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAc[6S]b1-OH
227	DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
228	DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OH
